Local time,Open,High,Low,Close,Volume
31.12.2016 19:00:00.000 GMT-0500,1150.312,1150.312,1150.312,1150.312,0
01.01.2017 19:00:00.000 GMT-0500,1150.000,1152.472,1149.418,1150.361,0.6234
02.01.2017 19:00:00.000 GMT-0500,1150.361,1164.408,1146.039,1157.109,56.8908
03.01.2017 19:00:00.000 GMT-0500,1157.109,1167.862,1156.138,1165.818,61.2258
04.01.2017 19:00:00.000 GMT-0500,1165.858,1185.038,1165.798,1180.772,82.3522
05.01.2017 19:00:00.000 GMT-0500,1180.772,1182.649,1170.919,1172.158,68.1293
06.01.2017 19:00:00.000 GMT-0500,1172.158,1172.158,1172.158,1172.158,0
07.01.2017 19:00:00.000 GMT-0500,1172.591,1173.972,1171.588,1173.841,0.4798
08.01.2017 19:00:00.000 GMT-0500,1173.791,1186.078,1172.641,1182.499,56.6618
09.01.2017 19:00:00.000 GMT-0500,1182.388,1190.609,1180.099,1186.099,58.7793
10.01.2017 19:00:00.000 GMT-0500,1186.099,1198.179,1177.098,1193.462,67.0607
11.01.2017 19:00:00.000 GMT-0500,1193.478,1206.929,1192.801,1196.302,63.9629
12.01.2017 19:00:00.000 GMT-0500,1196.219,1200.699,1187.838,1196.668,61.1426
13.01.2017 19:00:00.000 GMT-0500,1196.668,1196.668,1196.668,1196.668,0
14.01.2017 19:00:00.000 GMT-0500,1200.202,1204.972,1197.849,1203.369,0.9416
15.01.2017 19:00:00.000 GMT-0500,1203.391,1208.581,1200.218,1203.112,41.5541
16.01.2017 19:00:00.000 GMT-0500,1203.078,1218.798,1203.022,1215.102,71.3121
17.01.2017 19:00:00.000 GMT-0500,1215.052,1217.509,1201.758,1203.031,63.2807
18.01.2017 19:00:00.000 GMT-0500,1202.942,1206.479,1195.849,1203.559,78.0686
19.01.2017 19:00:00.000 GMT-0500,1203.669,1214.898,1198.578,1209.609,74.5486
20.01.2017 19:00:00.000 GMT-0500,1209.609,1209.609,1209.609,1209.609,0
21.01.2017 19:00:00.000 GMT-0500,1209.462,1215.691,1209.462,1215.401,1.3259
22.01.2017 19:00:00.000 GMT-0500,1215.401,1219.931,1209.258,1217.369,68.1304
23.01.2017 19:00:00.000 GMT-0500,1217.369,1218.549,1206.549,1209.101,60.1199
24.01.2017 19:00:00.000 GMT-0500,1209.152,1209.779,1193.208,1200.948,65.5527
